Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2025/02/11
  cutoff: 10

      |#Used/#Vis|   HDOP   VDOP   PDOP   TDOP   GDOP

10:00 |  15 / 15 |    0.7    1.3    1.5    0.7    1.7
10:05 |  15 / 15 |    0.7    1.3    1.5    0.7    1.6
10:10 |  16 / 16 |    0.6    1.2    1.3    0.6    1.5
10:15 |  16 / 16 |    0.6    1.1    1.3    0.6    1.4
10:20 |  16 / 16 |    0.6    1.1    1.3    0.6    1.4
10:25 |  15 / 15 |    0.7    1.1    1.3    0.6    1.4
10:30 |  14 / 14 |    0.7    1.2    1.4    0.7    1.6
10:35 |  14 / 14 |    0.7    1.2    1.4    0.7    1.6
10:40 |  13 / 13 |    0.8    1.3    1.5    0.7    1.7
10:45 |  14 / 14 |    0.7    1.2    1.4    0.6    1.5
10:50 |  14 / 14 |    0.7    1.2    1.4    0.7    1.5
10:55 |  14 / 14 |    0.7    1.2    1.4    0.7    1.5
11:00 |  14 / 14 |    0.8    1.2    1.4    0.7    1.5
11:05 |  14 / 14 |    0.8    1.1    1.4    0.6    1.5
11:10 |  13 / 13 |    0.8    1.2    1.4    0.7    1.6
11:15 |  14 / 14 |    0.8    1.1    1.4    0.6    1.5
11:20 |  13 / 13 |    0.8    1.1    1.4    0.7    1.5
11:25 |  12 / 12 |    0.9    1.3    1.6    0.8    1.8
11:30 |  12 / 12 |    0.9    1.2    1.6    0.8    1.8
11:35 |  11 / 11 |    1.0    1.3    1.6    0.8    1.8
11:40 |  11 / 11 |    1.0    1.3    1.6    0.8    1.8
11:45 |  11 / 11 |    1.0    1.3    1.6    0.8    1.8
11:50 |  11 / 11 |    1.0    1.2    1.6    0.8    1.8
11:55 |  12 / 12 |    0.8    1.1    1.3    0.6    1.4
12:00 |  12 / 12 |    0.8    1.0    1.3    0.6    1.4
12:05 |  11 / 11 |    0.9    1.2    1.5    0.8    1.7
12:10 |  11 / 11 |    0.9    1.2    1.5    0.8    1.7
12:15 |  12 / 12 |    0.9    1.2    1.5    0.8    1.7
12:20 |  12 / 12 |    0.9    1.2    1.5    0.9    1.7
12:25 |  12 / 12 |    1.0    1.3    1.6    1.0    1.9
12:30 |  12 / 12 |    1.0    1.3    1.7    1.0    2.0
12:35 |  13 / 13 |    1.0    1.2    1.5    0.8    1.7
12:40 |  13 / 13 |    1.0    1.2    1.6    0.8    1.8
12:45 |  13 / 13 |    1.0    1.3    1.6    0.9    1.8
12:50 |  13 / 13 |    1.0    1.3    1.6    0.9    1.9
12:55 |  13 / 13 |    1.0    1.3    1.7    1.0    1.9
13:00 |  13 / 13 |    1.1    1.4    1.7    1.0    2.0
13:05 |  12 / 12 |    1.2    1.4    1.8    1.0    2.1
13:10 |  13 / 13 |    0.8    1.2    1.4    0.7    1.6
13:15 |  13 / 13 |    0.8    1.2    1.5    0.7    1.6
