Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211
  cutoff: 10

      |#Vis|  BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 G   BEIDOU-3S  
              GSO-1 (C06   4 (C04)      GSO-2 (C07   GSO-3 (C08   GSO-4 (C09   GSO-5 (C10   5 (C05)      3 (C11)      4 (C12)      6 (C14)      6 (C02)      IGSO-1S (C 

10:00 | 15 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   20.4  52.4   11.1 120.4   24.4 146.2   38.6  84.5   ---- -----   ---- -----   32.4  56.8 
10:05 | 15 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   19.8  52.6   11.2 120.4   26.4 145.2   39.0  81.9   ---- -----   ---- -----   32.1  56.3 
10:10 | 16 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   19.3  52.7   11.2 120.3   28.3 144.3   39.3  79.2   ---- -----   ---- -----   31.8  55.8 
10:15 | 16 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   18.7  52.9   11.2 120.3   30.3 143.2   39.5  76.6   ---- -----   ---- -----   31.5  55.4 
10:20 | 16 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   18.2  53.1   11.2 120.3   32.3 142.1   39.5  73.9   ---- -----   ---- -----   31.2  55.0 
10:25 | 15 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   17.6  53.4   11.2 120.3   34.3 141.0   39.3  71.3   ---- -----   ---- -----   30.8  54.6 
10:30 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   17.1  53.7   11.2 120.3   36.3 139.7   39.1  68.7   ---- -----   ---- -----   30.5  54.2 
10:35 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   16.5  54.0   11.2 120.3   38.2 138.3   38.7  66.2   ---- -----   ---- -----   30.1  53.9 
10:40 | 13 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.9  54.3   11.2 120.3   40.1 136.8   38.1  63.7   ---- -----   ---- -----   29.7  53.6 
10:45 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.4  54.6   11.2 120.3   42.0 135.2   37.5  61.4   ---- -----   ---- -----   29.2  53.3 
10:50 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   14.8  55.0   11.2 120.3   43.8 133.4   36.7  59.1   ---- -----   ---- -----   28.8  53.1 
10:55 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   14.2  55.4   11.3 120.2   45.6 131.5   35.8  57.0   ---- -----   ---- -----   28.3  52.9 
11:00 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   13.7  55.8   11.3 120.2   47.3 129.4   34.8  55.0   ---- -----   ---- -----   27.8  52.7 
11:05 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   13.1  56.2   11.3 120.2   48.9 127.0   33.7  53.1   ---- -----   ---- -----   27.4  52.6 
11:10 | 13 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   12.5  56.7   11.3 120.2   50.5 124.5   32.5  51.4   ---- -----   ---- -----   26.9  52.5 
11:15 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   12.0  57.2   11.3 120.2   51.9 121.8   31.3  49.7   ---- -----   ---- -----   26.3  52.4 
11:20 | 13 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   11.4  57.7   11.4 120.2   53.2 118.8   29.9  48.2   ---- -----   ---- -----   25.8  52.3 
11:25 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   10.8  58.2   11.4 120.1   54.4 115.6   28.5  46.8   ---- -----   ---- -----   25.3  52.3 
11:30 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   10.3  58.7   11.4 120.1   55.4 112.2   27.1  45.6   ---- -----   ---- -----   24.7  52.4 
